from,to
Kitty Pryde,Phantom Girl
Kitty Pryde,Magneto (Marvel Comics)
Kitty Pryde,Dazzler (Marvel Comics)
Kitty Pryde,Siryn
Kitty Pryde,Layla Miller
Kitty Pryde,Rogue (comics)
Kitty Pryde,Nightcrawler (comics)
Kitty Pryde,Iceman (Marvel Comics)
Kitty Pryde,Apocalypse (comics)
Kitty Pryde,Shroud (comics)
Kitty Pryde,Cannonball (comics)
Kitty Pryde,Sebastian Shaw (comics)
Kitty Pryde,Carol Danvers
Kitty Pryde,N'Garai
Kitty Pryde,Marauders (comics)
Kitty Pryde,Sentinel (comics)
Kitty Pryde,High Evolutionary
Kitty Pryde,Storm (Marvel Comics)
Kitty Pryde,Cypher (comics)
Kitty Pryde,Pete Wisdom
Kitty Pryde,Beast (comics)
Kitty Pryde,Emma Frost
Kitty Pryde,Reptil
Kitty Pryde,Leech (comics)
Kitty Pryde,Mister Fantastic
Kitty Pryde,Kavita Rao
Kitty Pryde,Hala the Accuser
Kitty Pryde,Star-Lord
Kitty Pryde,Avalanche (comics)
Kitty Pryde,Meggan (character)
Kitty Pryde,She-Hulk
Kitty Pryde,Robert Kelly (comics)
Kitty Pryde,Beyonder
Kitty Pryde,Captain Britain
Kitty Pryde,Blink (comics)
Kitty Pryde,Jubilee (comics)
Kitty Pryde,Armor (comics)
Kitty Pryde,Juggernaut (comics)
Kitty Pryde,Professor X
Kitty Pryde,Exodus (comics)
Kitty Pryde,Sage (comics)
Kitty Pryde,William Stryker
Kitty Pryde,Doctor Doom
Kitty Pryde,Zheng Zu
Kitty Pryde,Tigra
Kitty Pryde,Gambit (Marvel Comics)
Kitty Pryde,Cassandra Nova
Kitty Pryde,Wonder Woman
Controller (Marvel Comics),Rick Jones (comics)
Controller (Marvel Comics),Justin Hammer
Controller (Marvel Comics),Red Skull
Controller (Marvel Comics),Scientist Supreme
Controller (Marvel Comics),Daredevil (Marvel Comics character)
Controller (Marvel Comics),Korvac
Controller (Marvel Comics),War Machine
Controller (Marvel Comics),Jane Foster (comics)
Controller (Marvel Comics),Magneto (Marvel Comics)
Controller (Marvel Comics),Blood Brothers (comics)
Controller (Marvel Comics),MODOK
Controller (Marvel Comics),Hercules (Marvel Comics)
Controller (Marvel Comics),Wasp (comics)
Controller (Marvel Comics),Maria Hill
Controller (Marvel Comics),Hood (comics)
Controller (Marvel Comics),Jasper Sitwell
Machine Man,Sleepwalker (comics)
Machine Man,Fin Fang Foom
Machine Man,Betty Ross
Machine Man,Thing (comics)
Machine Man,Elsa Bloodstone
Machine Man,Northstar (Marvel Comics)
Machine Man,Hercules (Marvel Comics)
Machine Man,Baron Brimstone
Machine Man,Anya Corazon
Machine Man,Ms. Marvel
Machine Man,Sasquatch (comics)
Machine Man,Aurora (comics)
Machine Man,Phil Coulson
Machine Man,Power Broker (character)
Machine Man,Lockjaw (comics)
Machine Man,Tabitha Smith
Machine Man,Sebastian Shaw (comics)
Machine Man,Firestar (Marvel Comics)
Machine Man,Iron Monger
Machine Man,Sentinel (comics)
Machine Man,High Evolutionary
Machine Man,Arabian Knight (comics)
Machine Man,Ultron
Machine Man,Uatu
Machine Man,Warlock (New Mutants)
Machine Man,Iron Man 2020
Machine Man,Spider-Man
Machine Man,Maria Hill
Machine Man,Dirk Anger
Machine Man,Forbush Man
Machine Man,Portal (comics)
Machine Man,Morgan le Fay (Marvel Comics)
Machine Man,Deathlok
Machine Man,Galactus
Machine Man,Bastion (comics)
Machine Man,MODOK
Machine Man,Howard the Duck
Machine Man,Sunset Bain
Machine Man,Domino (comics)
Machine Man,Jocasta (comics)
Machine Man,Vanessa Fisk
Machine Man,Captain (comics)
Machine Man,Red Skull
Rock Python,Eric O'Grady#Black Ant
Rock Python,Kraven the Hunter
Rock Python,Havok (comics)
Rock Python,Nomad (comics)
Rock Python,Battlestar (comics)
Rock Python,Cobra (Marvel Comics)
Rock Python,Anaconda (comics)
Rock Python,Colossus (comics)
Rock Python,Rogue (comics)
Rock Python,Viper (Marvel Comics)
Rock Python,Puff Adder (comics)
Rock Python,Arcade (Marvel Comics)
Rock Python,Sidewinder (comics)
Rock Python,Taskmaster (comics)
Rock Python,Jack Flag
Absorbing Man,Crossbones (comics)
Absorbing Man,Metal Master (comics)
Absorbing Man,Karnak (comics)
Absorbing Man,Daredevil (Marvel Comics character)
Absorbing Man,Stilt-Man
Absorbing Man,Baron Zemo
Absorbing Man,Grim Reaper (comics)
Absorbing Man,Helmut Zemo
Absorbing Man,Thunderstrike (Eric Masterson)
Absorbing Man,Sasquatch (comics)
Absorbing Man,Hood (comics)
Absorbing Man,Jane Foster (comics)
Absorbing Man,Whirlwind (comics)
Absorbing Man,Ethan Edwards
Absorbing Man,Jack Murdock (comics)
Absorbing Man,Dazzler (Marvel Comics)
Absorbing Man,Glenn Talbot
Absorbing Man,Puck (Marvel Comics)
Absorbing Man,Black Bolt
Absorbing Man,Titania (Marvel Comics)
Absorbing Man,Ultron
Absorbing Man,Quasar (comics)
Absorbing Man,Diablo (Marvel Comics)
Absorbing Man,Owl (Marvel Comics)
Absorbing Man,Old Man Logan
Absorbing Man,Maria Hill
Absorbing Man,Spider-Man
Absorbing Man,She-Hulk
Absorbing Man,Sharon Carter
Absorbing Man,Fixer (comics)
Absorbing Man,Graviton (comics)
Absorbing Man,Thor (Marvel Comics)
Absorbing Man,Doctor Doom
Absorbing Man,Jazinda
Absorbing Man,Red Skull
Absorbing Man,Machine Man
Jack Frost (Marvel Comics),Miss America (Madeline Joyce)
Jack Frost (Marvel Comics),Thor (Marvel Comics)
Jack Frost (Marvel Comics),Red Raven (Marvel Comics)
Jack Frost (Marvel Comics),Human Torch (android)
Jack Frost (Marvel Comics),Thin Man (comics)
Jack Frost (Marvel Comics),Blue Diamond (comics)
Jack Frost (Marvel Comics),Iceman (Marvel Comics)
Jack Frost (Marvel Comics),Bucky Barnes
Jack Frost (Marvel Comics),Red Skull
Hobgoblin (comics),Rhino (comics)
Hobgoblin (comics),Lady Octopus
Hobgoblin (comics),Uncle Ben
Hobgoblin (comics),N'astirh
Hobgoblin (comics),Spider-Punk
Hobgoblin (comics),Hawkgirl
Hobgoblin (comics),Demogoblin
Hobgoblin (comics),Silk (comics)
Hobgoblin (comics),Kulan Gath
Hobgoblin (comics),Spider-Man 2099
Hobgoblin (comics),Black Tarantula
Hobgoblin (comics),Jack O'Lantern (Marvel Comics)
Hobgoblin (comics),Betty Brant
Hobgoblin (comics),Madelyne Pryor
Hobgoblin (comics),Jason Macendale
Hobgoblin (comics),Red Sonja
Hobgoblin (comics),Black Cat (Marvel Comics)
Hobgoblin (comics),Phil Urich
Hobgoblin (comics),Roderick Kingsley
Hobgoblin (comics),Scream (comics)
Hobgoblin (comics),American Dream (comics)
Hobgoblin (comics),Spider-Man
Hobgoblin (comics),Foreigner (comics)
Hobgoblin (comics),Richard Fisk
Hobgoblin (comics),Ned Leeds
Hobgoblin (comics),Spider-Girl (Mayday Parker)
Hobgoblin (comics),Venom (Marvel Comics character)
Hobgoblin (comics),Ben Reilly
Hobgoblin (comics),Doctor Octopus
Jerry Jaxon,Box (comics)
Jerry Jaxon,Shaman (comics)
Jerry Jaxon,Flashback (comics)
Jerry Jaxon,Wild Child (comics)
Jerry Jaxon,Diamond Lil (Marvel Comics)
Jerry Jaxon,Guardian (Marvel Comics)
Death's Head,Daredevil (Marvel Comics character)
Death's Head,Wundarr the Aquarian
Death's Head,Death Metal (comics)
Death's Head,Cable (comics)
Death's Head,Crimson Dynamo
Death's Head,Captain Universe
Death's Head,Texas Twister
Death's Head,Mantis (Marvel Comics)
Death's Head,Abigail Brand
Death's Head,Monica Rappaccini
Death's Head,Karen Page
Death's Head,Motormouth (comics)
Death's Head,Beast (comics)
Death's Head,Iron Man 2020
Death's Head,Spider-Man
Death's Head,She-Hulk
Death's Head,Captain Britain
Death's Head,Killpower
Death's Head,Doctor Octopus
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Doctor Strange
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Gamora
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Red Wolf (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Mister Fear
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Mephisto (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Two-Gun Kid
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Daredevil (Marvel Comics character)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Phantom Rider
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Kingpin (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Henry Peter Gyrich
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Quicksilver (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Red Guardian
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Mentallo
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Citizen V
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Helmut Zemo
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Goliath (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Zzzax
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Mad Thinker
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Hood (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Franklin Richards (Fantastic Four)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Ringmaster (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Swordsman (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Korvac
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),War Machine
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Magneto (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Layla Miller
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Viper (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Monica Rappaccini
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Black Cat (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Taskmaster (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Green Arrow
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Firestar (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Deathbird
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Puppet Master (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Elders of the Universe
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Henry Pym
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Crossfire (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Collector (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Edwin Jarvis
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Beast (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Mockingbird (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Mister Fantastic
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Ghost Rider
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Echo (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Old Man Logan
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Egghead (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Wasp (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Misty Knight
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Spider-Man
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),She-Hulk
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Ares (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Fancy Dan
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Ronin (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Morgan le Fay (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Night Nurse (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Sharon Carter
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Black Canary
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Graviton (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Thor (Marvel Comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Trick Shot (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Spider-Woman
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Doctor Doom
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Patsy Walker
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Bullseye (comics)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Moondragon
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Doctor Octopus
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Bucky Barnes
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Scourge of the Underworld
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Venom (Marvel Comics character)
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Satannish
Hawkeye (Clint Barton)|Clint Barton (Marvel Cinematic Universe),Dreadknight
Lunatik,Kraven the Hunter
Lunatik,Drax the Destroyer
Lunatik,Blood Brothers (comics)
Lunatik,John Jameson (comics)
Lunatik,Ambush Bug
Lunatik,Lobo (DC Comics)
Lunatik,Star-Lord
Lunatik,Deadpool
Baymax,Sasquatch (comics)
Baymax,Hiro Takachiho
Inertia (Marvel Comics),Nth Man
Inertia (Marvel Comics),Master Menace
Inertia (Marvel Comics),Haywire (comics)
Inertia (Marvel Comics),Vixen (comics)
Dorma (comics),Llyra
Dorma (comics),Krang (Marvel Comics)
Dorma (comics),Invisible Woman
Dorma (comics),Lois Lane
Dorma (comics),Namora
Dorma (comics),Fin (comics)
Dorma (comics),Namorita
Diamondback (Willis Stryker),Mister Negative
Diamondback (Willis Stryker),Luke Cage
Diamondback (Willis Stryker),Fixer (comics)
Diamondback (Willis Stryker),Daredevil (Marvel Comics character)
Diamondback (Willis Stryker),Jessica Jones
Diamondback (Willis Stryker),Misty Knight
Diamondback (Willis Stryker),Iron Fist (comics)
Diamondback (Willis Stryker),Black Cat (Marvel Comics)
Diamondback (Willis Stryker),Titania (Marvel Comics)
Diamondback (Willis Stryker),Hammerhead (comics)
Diamondback (Willis Stryker),Comanche (comics)
Mister Negative,Electro (Marvel Comics)
Mister Negative,Dormammu
Mister Negative,Uncle Ben
Mister Negative,Cloak and Dagger (comics)
Mister Negative,Lizard (comics)
Mister Negative,Hammerhead (comics)
Mister Negative,Hood (comics)
Mister Negative,Betty Brant
Mister Negative,Eel (comics)
Mister Negative,Silvermane
Mister Negative,Rockslide (comics)
Mister Negative,Black Cat (Marvel Comics)
Mister Negative,Sin-Eater (comics)
Mister Negative,Phil Urich
Mister Negative,Punisher
Mister Negative,Spot (comics)
Mister Negative,Sabretooth (comics)
Mister Negative,Diamondback (Willis Stryker)
Mister Negative,Crime Master
Mister Negative,Anole (comics)
Mister Negative,Madame Masque
Mister Negative,Tombstone (comics)
Mister Negative,J. Jonah Jameson
Mister Negative,Owl (Marvel Comics)
Mister Negative,Spider-Man
Mister Negative,Daimon Hellstrom
Mister Negative,Boomerang (comics)
Mister Negative,Underworld (comics)
Mister Negative,Juggernaut (comics)
Mister Negative,Menace (Marvel Comics)
Mister Negative,Anti-Venom (symbiote)
Mister Negative,Venom (Marvel Comics character)
Mister Negative,Doctor Octopus
Lucifer (Marvel Comics),Unus the Untouchable
Lucifer (Marvel Comics),Professor X
Lucifer (Marvel Comics),Ghost Rider
Lucifer (Marvel Comics),Amatsu-Mikaboshi (comics)
Lucifer (Marvel Comics),Cyclops (Marvel Comics)
Lucifer (Marvel Comics),Iceman (Marvel Comics)
Lucifer (Marvel Comics),Blob (comics)
Harold Meachum,Iron Fist (comics)
Harold Meachum,Master Khan
Harold Meachum,Ward Meachum
Xavin,Nico Minoru
Xavin,Molly Hayes
Xavin,Karolina Dean
Xavin,Thing (comics)
Xavin,Invisible Woman
Xavin,Super-Skrull
Xavin,Hulkling
Xavin,Alex Wilder
Beverly Switzler,Luke Cage
Beverly Switzler,Franklin Richards (Fantastic Four)
Beverly Switzler,Man-Thing
Beverly Switzler,Jessica Jones
Beverly Switzler,Leech (comics)
Beverly Switzler,Howard the Duck
Beverly Switzler,Doctor Bong
Beverly Switzler,Black Tom Cassidy
Hypno-Hustler,Rhino (comics)
Hypno-Hustler,Armadillo (comics)
Hypno-Hustler,Equinox (comics)
Hypno-Hustler,Tombstone (comics)
Hypno-Hustler,Chemistro
Hypno-Hustler,Man-Bull
Hypno-Hustler,Menace (Marvel Comics)
Hypno-Hustler,Big Wheel (comics)
Hypno-Hustler,Spider-Man
Hypno-Hustler,Deadpool
Hypno-Hustler,Chameleon (comics)
Orbit (comics),X-Statix
Demolition Man (comics),Rhino (comics)
Demolition Man (comics),Rage (comics)
Demolition Man (comics),Flag-Smasher
Demolition Man (comics),Daredevil (Marvel Comics character)
Demolition Man (comics),Henry Peter Gyrich
Demolition Man (comics),Thing (comics)
Demolition Man (comics),U.S. Agent (comics)
Demolition Man (comics),Anaconda (comics)
Demolition Man (comics),Puppet Master (Marvel Comics)
Demolition Man (comics),Edwin Jarvis
Demolition Man (comics),Roderick Kingsley
Demolition Man (comics),Battlestar (comics)
Demolition Man (comics),Shocker (comics)
Demolition Man (comics),Slither (comics)
Demolition Man (comics),Karl Malus
Demolition Man (comics),Beyonder
Demolition Man (comics),Morgan le Fay (Marvel Comics)
Demolition Man (comics),Boomerang (comics)
Demolition Man (comics),Sharon Carter
Demolition Man (comics),Wonder Man
Demolition Man (comics),Songbird (comics)
Demolition Man (comics),Ben Urich
Demolition Man (comics),Scourge of the Underworld
Demolition Man (comics),Power Broker (character)
El Aguila,Luke Cage
El Aguila,Colleen Wing
El Aguila,Iron Fist (comics)
El Aguila,Misty Knight
El Aguila,Constrictor (comics)
El Aguila,Sabretooth (comics)
Kaecilius,Umar (Marvel Comics)
Kaecilius,Doctor Strange
Kaecilius,Dormammu
Kaecilius,Baron Mordo
Kaecilius,Valkyrie (Marvel Comics)
Kaecilius,Ancient One
Kaecilius,Grim Reaper (comics)
Kaecilius,Mephisto (comics)
Batroc the Leaper,Maelstrom (comics)
Batroc the Leaper,Batman
Batroc the Leaper,Absorbing Man
Batroc the Leaper,Helmut Zemo
Batroc the Leaper,Hood (comics)
Batroc the Leaper,Whirlwind (comics)
Batroc the Leaper,Ward Meachum
Batroc the Leaper,Swordsman (comics)
Batroc the Leaper,Human Torch (android)
Batroc the Leaper,Huntress (comics)
Batroc the Leaper,Taskmaster (comics)
Batroc the Leaper,Iron Monger
Batroc the Leaper,Radioactive Man (comics)
Batroc the Leaper,Punisher
Batroc the Leaper,Living Laser
Batroc the Leaper,Klaw (Marvel Comics)
Batroc the Leaper,Spider-Man (Miles Morales)
Batroc the Leaper,American Dream (comics)
Batroc the Leaper,Iron Fist (comics)
Batroc the Leaper,Spider-Man
Batroc the Leaper,Ulysses Bloodstone
Batroc the Leaper,Sharon Carter
Batroc the Leaper,Mister Hyde (comics)
Batroc the Leaper,MODOK
Batroc the Leaper,Trick Shot (comics)
Batroc the Leaper,Gwenpool
Batroc the Leaper,Machinesmith
Batroc the Leaper,Machete (comics)
Batroc the Leaper,Doctor Doom
Batroc the Leaper,Arcade (Marvel Comics)
Batroc the Leaper,Bucky Barnes
Batroc the Leaper,Gambit (Marvel Comics)
Ragnarok (comics),Storm (Marvel Comics)
Ragnarok (comics),Volstagg
Ragnarok (comics),Mister Fantastic
Ragnarok (comics),Thor (Marvel Comics)
Ragnarok (comics),U.S. Agent (comics)
Ragnarok (comics),Hercules (Marvel Comics)
Ragnarok (comics),Iron Fist (comics)
Ragnarok (comics),Spider-Man
Ragnarok (comics),Baron Von Blitzschlag
Ragnarok (comics),Red Skull
Spider-Man (Pavitr Prabhakar),Spider-Punk
Spider-Man (Pavitr Prabhakar),Spider-Ham
Spider-Man (Pavitr Prabhakar),Anya Corazon
Spider-Man (Pavitr Prabhakar),Spider-Man
Spider-Man (Pavitr Prabhakar),Venom (Marvel Comics character)
Spider-Man (Pavitr Prabhakar),Doctor Octopus
Marvel Boy (Robert Grayson),Quasar (comics)
Marvel Boy (Robert Grayson),Yellow Claw (comics)
Marvel Boy (Robert Grayson),Crusader (Marvel Comics)
